0,"in m \triangle ABC, it is known that m \angle A = 80??, m \angle B = 60??, DE \parallel BC, then the size of m \angle CED is ()"
1,"AB \parallel CD, straight line EF intersects AB at point E and intersects CD at point F. EG bisects m \angle BEF and intersects CD at point G. m \angle 1 = 50??, then m \angle 2 is equal to ()"
2,"the radii of the two concentric circles are 4cm and 5cm respectively. A chord AB of the large circle is \tan gent to the small circle, then the length of chord AB is ()"
3,"it is known that OA = OB = OC and m \angle ACB = 30??, then the size of m \angle AOB is ()"
4,"straight line a is perpendicular to  straight line c, straight line b is perpendicular to  straight line c, if m \angle 1 = 70??, then m \angle 2 = ()"
5,"it is known that straight line a \parallel b, straight line c intersects a and b at A and B respectively; and m \angle 1 = 120??, then m \angle 2 = ()"
6,"AB \parallel CD, if m \angle 2 = 135??, then the degree of m \angle 1 is ()"
8,"There is an open space in a flower farm that is shaped like an isosceles trapezoid ABCD. The midpoints of each side are E, F, G, and H. The measured diagonal AC  =  10 meters. Now I want to use a fence to surround the site into a quadrilateral EFGH. The total length of the fence required is ()"
9,"use benchmark BE to measure the height of tree CD. If benchmark BE is 2 meters long, AB = 3 meters, AC = 9 meters are measured, and points A, E, D are on a straight line, then tree CD is ()"
11,"As shown in the figure: The perimeter of m \triangle ABC is 30cm. Fold side AC of m \triangle ABC in half so that vertex C coincides with point A. The fold intersects side BC with point D, intersects side AC with point E, and connects AD. If AE = 4cm , then the perimeter of m \triangle ABD is ()"
13,"point O is on the straight line AB and OC is perpendicular to OD. If m \angle COA = 36??, then the size of m \angle DOB is ()"
14,"in the parallelogram ABCD with a perimeter of 20cm, AB??AD, AC and BD intersect at point O, OE is perpendicular to BD intersects AD at E, then the perimeter of m \triangle ABE is ()"
17,"the perimeter of m \triangle ABC is 21, and AB = AC, BC = 5. The vertical bisector DE of AB intersects AB at point D and AC at point E, then the perimeter of m \triangle BEC is ()"
21,"the midpoints of each side of any quadrilateral ABCD are E, F, G, and H respectively. If the lengths of the diagonals AC and BD are both 20cm, then the perimeter of the quadrilateral EFGH is ()"
22,"it is known that m \angle 1 = m \angle 2 = m \angle 3 = 55??, then the degree of m \angle 4 is ()"
23,"AB is the diameter of Circle O, arc \widehat BC = arc \widehat BD, m \angle A = 25??, then the degree of m \angle BOD is ()"
24,"points A, B, and C are on Circle O, m \angle A = 50??, then the degree of m \angle BOC is ()"
25,"m \angle AOB = 100??, then m \angle A + m \angle B is equal to ()"
27,"m \triangle ABC is inscribed in Circle O, AD is the diameter of Circle O, m \angle ABC = 25??, then the degree of m \angle CAD is ()"
30,"straight line a \parallel b, point B is on straight line b, and AB is perpendicular to BC, m \angle 2 = 65??, then the degree of m \angle 1 is ()"
32,"D is the midpoint of edge AB. Fold m \triangle ABC along the straight line pas\sin g through D so that point A falls on BC at F. If m \angle B = 50??, then the degree of m \angle EDF is ()"
35,"in m \triangle ABC, m \angle CAB = 70??, rotate m \triangle ABC counterclockwise around point A to the position of m \triangle AB??C??, so that CC?? \parallel AB, then the degree of m \angle BAB?? is ()"
37,"in m \triangle ABC, AB = AC, m \angle A = 36??, BD is the height of the side AC, then the degree of m \angle DBC is ()"
39,"it is known that the central angle m \angle BOC = 78??, then the degree of the circumferential angle m \angle BAC is ()"
40,"it is known that Circle O is the circumcircle of m \triangle ABD, AB is the diameter of Circle O, CD is the chord of Circle O, m \angle ABD = 58??, then m \angle BCD is equal to ()"
42,"it is known that E is a point on the side BC of the rhombus ABCD, and m \angle DAE = m \angle B = 80??, then the degree of m \angle CDE is ()"
44,"in Circle O, it is known that m \angle OAB = 22.5??, then the degree of m \angle C is ()"
45,"in m \triangle ABC, m \angle ABC = 45??, AC = 8cm, F is the intersection of height AD and BE, then the length of BF is ()"
46,"in m \triangle ABC, AB = AC, m \angle B = 70??, then the degree of m \angle A is ()"
48,"straight line a \parallel b and straight line c intersect a and b, m \angle 1 = 55??, then m \angle 2 = ()"
49,"In the isosceles right triangle ABC, AB = AC = 4, point O is the midpoint of BC, with O as the centroid, draw Circle O intersecting BC at points M and N, Circle O is \tan gent to AB and AC, and the \tan gent points are respectively D, E, then the radius of Circle O and the degree of m \angle MND are () respectively"
50,"the diameter CD of Circle O passes through the midpoint G of the chord EF, m \angle DCF = 20??, then m \angle EOD is equal to ()"
51,"AB is parallel to CD. If m \angle B = 20??, then m \angle C is ()"
52,"m \angle 1 = 100??, m \angle C = 70??, then the size of m \angle A is ()"
53,"in Circle O, m \angle ABC = 50??, then m \angle AOC is equal to ()"
54,"a pair of two right-angled triangles with angles of 30?? and 45?? respectively are assembled into the following figure, where m \angle C = 90??, m \angle B = 45??, m \angle E = 30??, then the degree of m \angle BFD is ( )"
55,"it is known that AB \parallel CD, E is a point on AB, ED bisects m \angle BEC and intersects CD at point D, m \angle BEC = 100??, then the degree of m \angle D is ()"
56,"AB \parallel CD, m \angle CED = 90??, m \angle AEC = 35??, then the size of m \angle D ()"
57,"AB \parallel CD, AD bisect m \angle BAC, and m \angle C = 80??, then the degree of m \angle D is ()"
58,"AB \parallel CD and AD bisect m \angle BAC. If m \angle BAD = 70??, then the degree of m \angle ACD is ()"
59,"it is known that AB \parallel CD, m \angle 2 = 135??, then the degree of m \angle 1 is ()"
60,"points A, B, and C are three points on Circle 0. If m \angle OBC = 50??, then the degree of m \angle A is ()"
61,"place the two vertices of a right triangle containing 45?? on opposite sides of the ruler. If m \angle 1 = 20??, then the degree of m \angle 2 is ()"
63,"Place a ruler and a triangular plate as shown in the figure. If m \angle 1 = 40??, then the degree of m \angle 2 is ()"
65,"A, C, and B are three points on Circle O. If m \angle AOC = 40??, then the degree of m \angle ABC is ()."
