5269,x=360,"['Angle(B)', 'Angle(C)', 'Angle(D)', 'Angle(E)', 'Angle(F)', 'Find(MeasureOf(Angle(A)))']",Angle B Angle C Angle D Angle E Angle F Find MeasureOf Angle A   ,360
122,x=360,"['Angle(B)', 'Angle(C)', 'Angle(D)', 'Angle(E)', 'Angle(F)', 'Find(MeasureOf(Angle(A)))']",Angle B Angle C Angle D Angle E Angle F Find MeasureOf Angle A   ,360
826,x=180,"['Angle(B)', 'Angle(C)', 'Angle(D)', 'Angle(E)', 'Find(MeasureOf(Angle(A)))']",Angle B Angle C Angle D Angle E Find MeasureOf Angle A   ,180
78,x=130,"['Parallel(Line(a),Line(b))', 'Equals(Angle(1),130)', 'Find(MeasureOf(Angle(2)))']",Parallel Line a Line b  Equals Angle 1 130 Find MeasureOf Angle 2   ,130
2476,x=128,"['Point(A)', 'Point(B)', 'Point(C)', 'Circle(O)', 'Line(A,B)', 'Line(C,D)', 'Line(B,C)', 'Line(D,E)', 'Equals(Angle(D),128)', 'Find(MeasureOf(Angle(B)))']",Point A Point B Point C Circle O Line AB Line CD Line BC Line DE Equals Angle D 128 Find MeasureOf Angle B   ,128
527,x=125,"['Equals(Angle(1),120)', 'Equals(Angle(2),60)', 'Equals(Angle(4),125)', 'Find(MeasureOf(Angle(3)))']",Equals Angle 1 120 Equals Angle 2 60 Equals Angle 4 125 Find MeasureOf Angle 3   ,125
5,x=120,"['Parallel(Line(a),Line(b))', 'IntersectAt(Line(c),Line(a),Point(A)', 'IntersectAt(Line(c),Line(b),Point(B))', 'Equals(Angle(1),120)', 'Find(MeasureOf(Angle(2)))']",Parallel Line a Line b  IntersectAt Line c Line a Point A IntersectAt Line c Line b Point B  Equals Angle 1 120 Find MeasureOf Angle 2   ,120
141,x=120,"['InscribedIn(Quadrilateral(A,B,C,D),Circle(O))', 'Line(C,D)', 'Equals(Angle(A,D,E),120)', 'Find(MeasureOf(Angle(B)))']",InscribedIn Quadrilateral ABCD Circle O  Line CD Equals Angle ADE 120 Find MeasureOf Angle B   ,120
3593,x=120,"['InscribedIn(Quadrilateral(A,B,C,D),Circle($))', 'Equals(Angle(A,B,C),120)', 'Find(MeasureOf(Angle(A,D,E)))']",InscribedIn Quadrilateral ABCD Circle $  Equals Angle ABC 120 Find Quadrilateral ABCD  ,120
3487,x=110,"['InscribedIn(Quadrilateral(A,B,C,D),Circle(O))', 'Line(B,C)', 'Equals(Angle(D,C,E),110)', 'Find(MeasureOf(Angle(A)))']",InscribedIn Quadrilateral ABCD Circle O  Line BC Equals Angle DCE 110 Find MeasureOf Angle A   ,110
885,x=110,"['Parallel(Line(a),Line(b))', 'IntersectAt(Line(c),Line(a),Point(A)', 'IntersectAt(Line(c),Line(b),Point(B))', 'Equals(Angle(1),110)', 'Find(MeasureOf(Angle(2)))']",Parallel Line a Line b  IntersectAt Line c Line a Point A IntersectAt Line c Line b Point B  Equals Angle 1 110 Find MeasureOf Angle 2   ,110
3546,x=110,"['Quadrilateral(A,B,C,D)', 'Quadrilateral($)', 'Circle(O)', 'PointLiesOnLine(E,Line(C,D))', 'Equals(Angle(A,B,C),110)', 'Find(MeasureOf(Angle(A,D,E)))']",Quadrilateral ABCD Quadrilateral $ Circle O PointLiesOnLine ELine CD  Equals Angle ABC 110 Find MeasureOf Angle ADE   ,110
3568,x=110,"['Quadrilateral(A,B,C,D)', 'Quadrilateral($)', 'Circle(O)', 'Equals(Angle(B),110)', 'Find(MeasureOf(Angle(A,D,E)))']",Quadrilateral ABCD Quadrilateral $ Circle O Equals Angle B 110 Find MeasureOf Angle ADE   ,110
1107,x=110,"['Parallel(Line(A,B),Line(C,E))', 'Equals(Angle(A),110)', 'Find(MeasureOf(Angle(A,D,E)))']",Parallel Line AB Line CE  Equals Angle A 110 Find MeasureOf Angle ADE   ,110
1003,x=100,"['Point(A)', 'Point(B)', 'Point(C)', 'Circle(O)', 'Equals(Angle(B),100)', 'Find(MeasureOf(Angle(A,D,E)))']",Point A Point B Point C Circle O Equals Angle B 100 Find MeasureOf Angle ADE   ,100
5799,x=90,"['Triangle(A,B,C)', 'Equals(Angle(A),36)', 'Equals(LengthOf(Line(A,B)),LengthOf(Line(A,C)))', 'BisectsAngle(Line(B,F),Angle(A,B,C))', 'IsMidpointOf(Point(E),Line(A,F))', 'Perpendicular(Line(D,E),Line(A,C))', 'Line(A,B)', 'Line(D,C)', 'Line(B,F)', 'Find(MeasureOf(Angle(D,P,B)))']",Triangle ABC Equals Angle A 36 Equals LengthOf Line AB  LengthOf Line AC   BisectsAngle Line BF Angle ABC  IsMidpointOf Point E Line AF  Perpendicular Line DE Line AC  Line AB Line DC Line BF Find MeasureOf Angle DPB   ,90
